Sıra  | Oyuncu Adı                     | LP     | Main Şampiyon
270   | ğğğğğğğğğğğğğğğğ#üüüüü         | 647    | Ezreal
271   | kicktv lawilol#lwi             | 646    | Lee Sin
272   | Beeevt#3131                    | 646    | Kled
273   | KALOBITAR FUN R1#MADEN         | 645    | Garen
274   | Exymian#TR1                    | 644    | Thresh
275   | Herif#1100                     | 641    | Zed
276   | ozzy#rog                       | 641    | Samira
277   | Monerâ#Tr61                    | 640    | Thresh
278   | Coursin#TR1                    | 640    | Pyke
279   | Mahatma LeKLa#reng             | 639    | Rengar
280   | değiştim#00000                 | 634    | Sylas
281   | serikatil#ttt                  | 634    | Rakan
282   | StaB#31sj                      | 634    | Kayle
283   | PİDE#PİG                       | 632    | Renekton
284   | 800kMidSallll#TR1              | 632    | Yasuo
285   | Zeta#963                       | 632    | Nidalee
286   | FL LookLikeGod#DOES            | 627    | Kha'Zix
287   | Elandel#TR1                    | 626    | Graves
288   | beztebya888#4545               | 621    | Galio
289   | AmeIia#TR1                     | 621    | Shyvana
290   | Xedz#TR1                       | 619    | Zed
291   | SoothSayer35#EUW               | 618    | Riven
292   | Pegassuss#TR1                  | 617    | Zed
293   | darkse1d#00000                 | 616    | Akshan
294   | Muhammekaiser#TR571            | 615    | Mordekaiser
295   | Estorea#TR1                    | 614    | Lux
296   | inco#exo                       | 614    | Ekko
297   | GLOXINIA SAMA#242              | 614    | Jayce
298   | The Salvatore#099              | 613    | Lucian
299   | Lulugs#5601                    | 613    | Corki
300   | dolleyicikıral2#s1k3r          | 612    | Janna
301   | Muteki#RK7                     | 612    | Veigar
302   | seco#1111                      | 611    | Jinx
303   | 杀手1#coc                        | 610    | Talon
304   | Conqueror#Roseツ                | 609    | Draven
305   | arcarcarcarc#0808              | 609    | Hecarim
306   | aden7#zxc                      | 607    | Kai'Sa
307   | sun eater#TR2                  | 606    | Twitch
308   | Risphaze#GOD                   | 605    | Hecarim
309   | DOBRAFAZA#4666                 | 604    | Karthus
310   | DΞSTΛN#TR35                    | 603    | Samira
311   | Nomad#gdxer                    | 598    | Darius
312   | uA VictorOsimhen#GS1           | 598    | Malphite
313   | 六六六六六六六#kog                    | 598    | Kog'Maw
314   | Kaann#3636                     | 597    | Anivia
315   | MrNowan#BABY                   | 596    | Gnar
316   | Turk1shStars#3060              | 595    | Yasuo
317   | TARANTUNA#3169                 | 594    | Milio
318   | emınem#3162                    | 594    | Taliyah
319   | Eda Clawthorne#1104            | 592    | Lux
320   | 195CM107KG21CM#TC1             | 589    | Rumble
321   | 1LVLTOCHALLENGER#TR007         | 587    | Katarina
322   | MuhakemeYeteneği#TR1           | 586    | Fizz
323   | Godfrey#ŞAŞKN                  | 586    | Sett
324   | Enama#Mad                      | 585    | Lucian
325   | dqp#lol                        | 584    | Tryndamere
326   | KGB M A R S#1453               | 583    | Zed
327   | asdfqwrdsfgqwe#qweqw           | 583    | Qiyana
328   | mirina#mel                     | 582    | Katarina
329   | End Of Life EO#TR1             | 581    | Samira
330   | Shinya#666                     | 578    | Janna
331   | LonelyWolf123#TR1              | 577    | Talon
332   | manifest1#999                  | 576    | Xayah
333   | MertcanKeskin#TR1              | 575    | Aatrox
334   | Yasena#TR1                     | 574    | Rakan
335   | lil peep turkiye#622           | 574    | Janna
336   | Pompacı Ediz#Ediz              | 573    | Nilah
337   | Fhype#TR1                      | 571    | Yasuo
338   | elonda dans#q77                | 570    | Samira
339   | Nista#VFW                      | 568    | Kled
340   | aspect#lowke                   | 568    | Talon
341   | Floodchuk#Ryze                 | 567    | Ryze
342   | Kengu#TR1                      | 566    | Vladimir
343   | Gesshoku#tsukı                 | 565    | Yasuo
344   | Rhioni1#TR1                    | 563    | Lucian
345   | Carryrina#TR1                  | 563    | Katarina
346   | twc smrfng1#twc                | 563    | Neeko
347   | Afiel#TR1                      | 563    | Irelia
348   | Bir Yıldız Kaisa#3131          | 560    | Kai'Sa
349   | Onsra#0104                     | 560    | Zed
350   | draconian#death                | 559    | Lux
351   | Myst#TR2                       | 557    | LeBlanc
352   | Cikey#TR1                      | 556    | Volibear
353   | yolu yok#dxmn                  | 556    | Sylas
354   | Starlight#EUWS                 | 555    | Volibear
355   | nicole#十十十                     | 553    | Seraphine
356   | casual#ties                    | 552    | Bel'Veth
357   | Ðiø Ðella Førest#TR1           | 551    | Lillia
358   | Eilish#Doll                    | 550    | Jhin
359   | SARHOŞ OBEZ#2008               | 548    | Gragas
360   | highasf#愛愛愛                    | 548    | Talon
361   | Aqua#lumi                      | 546    | Lulu
362   | Relax Darling#3344             | 546    | Katarina
363   | Aphelios v2#Aphe               | 545    | Aphelios
364   | Frieren#Staff                  | 543    | Diana
365   | Stnbl#TR1                      | 542    | Yasuo
366   | ŞAHBET#ŞAHBO                   | 542    | Vayne
367   | creaox#acc1                    | 541    | Kai'Sa
368   | Rillyeith#TR1                  | 538    | Sion
369   | ZehriMar BIG#HYPE              | 538    | Zed
370   | Istag#88888                    | 536    | Yasuo
371   | yulina#808                     | 535    | Nami
372   | Playboi Carti#yvI              | 534    | Kai'Sa
373   | tune#roe                       | 533    | Lux
374   | ANKA#boks                      | 532    | Gragas
375   | Neo ZeTHRIV#TR1                | 532    | Gragas
376   | Memur 1#GMO                    | 531    | Vayne
377   | JadeRoc#KÜRDO                  | 529    | Thresh
378   | GodLikeFriqher#grind           | 529    | Vladimir
379   | hindsight#171                  | 528    | Zeri
380   | Sick#911                       | 528    | Zed
381   | Through Shadows#TR1            | 528    | Zed
382   | Zetinac#000                    | 528    | Akali
383   | sek1m#king                     | 527    | Lucian
384   | Kim Chaewon#Kibir              | 525    | Aatrox
385   | xxxva#1938                     | 524    | Kai'Sa
386   | BakireGül#Nurdi                | 523    | Lux
387   | Taso BABA#LMFAO                | 522    | Diana
388   | Zyr Bahçeleri#TR1              | 522    | Rell
389   | Kendıne Gwen#TR1               | 521    | Azir
390   | DredRS#TR1                     | 520    | Katarina
391   | Kounen#chaos                   | 518    | Kayn
392   | katana#xxd                     | 515    | Yone
393   | Shigaraki#MRT                  | 515    | Cassiopeia
394   | Zievel#zort                    | 513    | Diana
395   | Renegoush#TR1                  | 511    | Swain
396   | hamburgersewerim#444           | 510    | Kha'Zix
397   | DikDuranPisVuran#3733          | 508    | Camille
398   | sonumu getir#212               | 508    | Jax
399   | FreshKiller#GOD                | 507    | Caitlyn
400   | THE MACHİNE#6886               | 507    | Evelynn
401   | Rodblac#Ghost                  | 506    | Xerath
402   | Solded#SLDED                   | 506    | Bel'Veth
403   | Byleth#999                     | 505    | Tristana
404   | Challenger Bot#TR2             | 505    | Vayne
405   | devilish#1000                  | 503    | Zed
406   | BabyClassQ#TR1                 | 503    | Samira
407   | Slimeslimeoglu#TR31            | 502    | Garen
408   | CHA OLUP SALICAM#Tedi          | 501    | Kayn
409   | Fawklê#TR1                     | 501    | Zeri
410   | i will cherish u#4GET十         | 500    | Qiyana
411   | Khaslana#Kaos                  | 500    | Riven
412   | KIKA#Now                       | 500    | Lux
413   | mystique#xxxxx                 | 500    | Graves
414   | young lust#666                 | 499    | Soraka
415   | Şafi in İsrael#Şafi            | 499    | Vel'Koz
416   | honor fizz#TR1                 | 499    | Fizz
417   | eng50DOM6Ps2p60#engel          | 499    | Qiyana
418   | ALPERN NAPIYOSON#ADC           | 496    | Kai'Sa
419   | heeeey guuys#fbgn              | 494    | Katarina
420   | Çekirdek#テオビ                   | 494    | Soraka
421   | NICK WOLTEMADE#DRAKE           | 493    | Yasuo
422   | Desir Hermann#4810             | 493    | Annie
